#,Date,Round_Type,Invitations issued,Score
278,12/21/2023,Agriculture and agri-food occupations (2023-1),400,386
277,12/20/2023,Transport occupations (2023-1),670,435
276,12/19/2023,Trade occupations (2023-1),1000,425
275,12/18/2023,General,1325,542
274,12/8/2023,STEM occupations (2023-1),5900,481
273,12/7/2023,French language proficiency (2023-1),1000,470
272,12/6/2023,General,4750,561
271,10/26/2023,Healthcare occupations (2023-1),3600,431
270,10/25/2023,French language proficiency (2023-1),300,486
269,10/24/2023,Provincial Nominee Program,1548,776
268,10/10/2023,No Program Specified,3725,500
267,9/28/2023,Agriculture and agri-food occupations (2023-1),600,354
266,9/27/2023,French language proficiency (2023-1),500,472
265,9/26/2023,No Program Specified,3000,504
264,9/20/2023,Transport occupations (2023-1),1000,435
263,9/19/2023,No Program Specified,3200,531
262,8/15/2023,No Program Specified,4300,496
261,8/3/2023,Trade occupations (2023-1),1500,388
260,8/2/2023,French language proficiency (2023-1),800,435
259,8/1/2023,No Program Specified,2000,517
258,7/12/2023,French language proficiency (2023-1),3800,375
257,7/11/2023,No Program Specified,800,505
256,7/7/2023,French language proficiency (2023-1),2300,439
255,7/6/2023,Healthcare occupations (2023-1),1500,463
254,7/5/2023,STEM occupations (2023-1),500,486
253,7/4/2023,No Program Specified,700,511
252,6/28/2023,Healthcare occupations (2023-1),500,476
251,6/27/2023,No Program Specified,4300,486
250,6/8/2023,No Program Specified,4800,486
249,5/24/2023,No Program Specified,4800,488
248,5/10/2023,Provincial Nominee Program,589,691
247,4/26/2023,No Program Specified,3500,483
246,4/12/2023,No Program Specified,3500,486
245,3/29/2023,No Program Specified,7000,481
244,3/23/2023,No Program Specified,7000,484
243,3/15/2023,No Program Specified,7000,490
242,3/1/2023,Provincial Nominee Program,667,748
241,2/15/2023,Provincial Nominee Program,699,791
240,2/2/2023,Federal Skilled Worker,3300,489
239,2/1/2023,Provincial Nominee Program,893,733
238,1/18/2023,No Program Specified,5500,490
237,1/11/2023,No Program Specified,5500,507
236,11/23/2022,No Program Specified,4750,491
235,11/9/2022,No Program Specified,4750,494
234,10/26/2022,No Program Specified,4750,496
233,10/12/2022,No Program Specified,4250,500
232,9/28/2022,No Program Specified,3750,504
231,9/14/2022,No Program Specified,3250,510
230,8/31/2022,No Program Specified,2750,516
229,8/17/2022,No Program Specified,2250,525
228,8/3/2022,No Program Specified,2000,533
227,7/20/2022,No Program Specified,1750,542
226,7/6/2022,No Program Specified,1500,557
225,6/22/2022,Provincial Nominee Program,636,752
224,6/8/2022,Provincial Nominee Program,932,796
223,5/25/2022,Provincial Nominee Program,590,741
222,5/11/2022,Provincial Nominee Program,545,753
221,4/27/2022,Provincial Nominee Program,829,772
220,4/13/2022,Provincial Nominee Program,787,782
219,3/30/2022,Provincial Nominee Program,919,785
218,3/16/2022,Provincial Nominee Program,924,754
217,3/2/2022,Provincial Nominee Program,1047,761
216,2/16/2022,Provincial Nominee Program,1082,710
215,2/2/2022,Provincial Nominee Program,1070,674
214,1/19/2022,Provincial Nominee Program,1036,745
213,1/5/2022,Provincial Nominee Program,392,808
212,12/22/2021,Provincial Nominee Program,746,720
211,12/10/2021,Provincial Nominee Program,1032,698
210,11/24/2021,Provincial Nominee Program,613,737
209,11/10/2021,Provincial Nominee Program,775,685
208,10/27/2021,Provincial Nominee Program,681,744
207,10/13/2021,Provincial Nominee Program,681,720
206,9/29/2021,Provincial Nominee Program,761,742
205,9/15/2021,Provincial Nominee Program,521,732
204,9/14/2021,Canadian Experience Class,2000,462
203,9/1/2021,Provincial Nominee Program,635,764
202,8/19/2021,Canadian Experience Class,3000,403
201,8/18/2021,Provincial Nominee Program,463,751
200,8/5/2021,Canadian Experience Class,3000,404
